@relation InstanceResultListener

@attribute Key_Dataset {get-drink-set.arff,go-to-bed-set.arff,leave-house-set.arff}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.SMO,weka.classifiers.functions.VotedPerceptron,weka.classifiers.rules.DecisionTable}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-I 1 -E 1.0 -S 1 -M 10000','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,-6585883636378691736,-1072429260104568698,2888557078165701326}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

get-drink-set.arff,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,23,2,0,92,8,0,0.626866,0.09,0.259808,59.252669,95.746069,10.061816,1076.830075,-1066.768259,0.402473,43.073203,-42.67073,2.295641,0.091826,544.557551,1,2,0.086957,2,0.913043,21,0,0,0.5,1,0.666667,0.675664,0.934783,0.5,0.92,0.006957,0.993043,0.08,0.96,0.92,0.931515,0.675664,0.934783,0.953467,0.810606,0.92,0.203,0.015,0,0,0,0,6271,35905,6850,96,56,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
get-drink-set.arff,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,25,0,0,100,0,0,1,0.014144,0.019567,9.311942,7.210929,10.061816,0.517264,9.544552,0.402473,0.020691,0.381782,9.544552,0.381782,2264.09825,1,2,0,0,1,23,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,35905,6850,100,54,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,25,0,0,100,0,0,1,0.014144,0.019567,9.311942,7.210929,10.061816,0.517264,9.544552,0.402473,0.020691,0.381782,9.544552,0.381782,2264.09825,1,2,0,0,1,23,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,35905,6850,100,54,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,24,1,0,96,4,0,0.778761,0.042667,0.165462,28.090154,60.977296,10.061816,2.743392,7.318424,0.402473,0.109736,0.292737,6.286712,0.251468,1491.293981,1,2,0.043478,1,0.956522,22,0,0,0.666667,1,0.8,0.798549,0.98913,0.833333,0.96,0.003478,0.996522,0.04,0.973333,0.96,0.963556,0.798549,0.98913,0.985,0.888889,0.96,0.016,0,0.015625,0,15.625,0,6271,35905,6850,100,56,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
get-drink-set.arff,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,24,1,0,96,4,0,0.647887,0.046492,0.19925,30.608536,73.428933,10.061816,7.720753,2.341062,0.402473,0.30883,0.093642,6.149355,0.245974,1458.711206,0.5,1,0,0,1,23,0.5,1,1,0.5,0.666667,0.692219,0.782609,0.545455,0.96,0.46,0.54,0.04,0.961667,0.96,0.953759,0.692219,0.782609,0.930303,0.822695,0.96,0,0,0,0,0,0,5907,35905,6850,96,52,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,23,1,0,95.833333,4.166667,0,0.647059,0.04869,0.203356,31.548018,73.575336,9.932385,7.72172,2.210665,0.413849,0.321738,0.092111,6.004997,0.250208,1428.917811,0.5,1,0,0,1,22,0.5,1,1,0.5,0.666667,0.691564,0.761364,0.543478,0.958333,0.458333,0.541667,0.041667,0.960145,0.958333,0.951852,0.691564,0.761364,0.923913,0.822222,0.958333,0,0,0,0,0,0,5907,36054,6701,95.833333,52.083333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,24,0,0,100,0,0,1,0.012188,0.019183,7.897074,6.94043,9.932385,0.428589,9.503796,0.413849,0.017858,0.395992,9.503796,0.395992,2261.473715,1,2,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,36054,6701,100,54.166667,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,24,0,0,100,0,0,1,0.014213,0.019809,9.209164,7.166888,9.932385,0.49913,9.433255,0.413849,0.020797,0.393052,9.433255,0.393052,2244.688069,1,2,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.015,0,0.015625,0,15.625,0,5907,36054,6701,100,54.166667,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,24,0,0,100,0,0,1,0.013698,0.019649,8.875675,7.109151,9.932385,0.481199,9.451186,0.413849,0.02005,0.393799,9.451186,0.393799,2248.954813,1,2,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,36054,6701,100,54.166667,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
